date,confirm,dead,heal,newAddConfirm,deadRate,healRate
01.28,57,0,3,0,0.00,5.26
01.29,74,0,3,13,0.00,4.05
01.30,98,0,6,22,0.00,6.12
01.31,124,0,11,20,0.00,8.87
02.01,139,0,11,13,0.00,7.91
02.02,149,1,11,10,0.67,7.38
02.03,154,1,12,5,0.65,7.79
02.04,177,1,19,22,0.56,10.73
02.05,201,1,21,14,0.50,10.45
02.06,225,1,25,24,0.44,11.11
02.07,273,1,27,48,0.37,9.89
02.08,299,1,29,26,0.33,9.70
02.09,313,1,30,14,0.32,9.58
02.10,385,1,36,72,0.26,9.35
02.11,397,1,44,12,0.25,11.08
02.12,444,1,50,47,0.23,11.26
02.13,505,2,56,61,0.40,11.09
02.14,516,2,59,11,0.39,11.43
02.15,601,3,61,85,0.50,10.15
02.16,687,3,84,78,0.44,12.23
02.17,800,3,88,104,0.38,11.00
02.18,904,3,114,104,0.33,12.61
02.19,1018,3,127,104,0.29,12.48
02.20,1096,8,127,78,0.73,11.59
02.21,1231,11,142,133,0.89,11.54
02.22,1528,14,154,156,0.92,10.08
02.23,1895,22,155,265,1.16,8.18
02.24,2286,32,173,368,1.40,7.57
02.25,2575,40,192,224,1.55,7.46
02.26,3085,51,220,492,1.65,7.13
02.27,3945,64,310,863,1.62,7.86
02.28,4947,80,360,998,1.62,7.28
02.29,6305,95,455,1349,1.51,7.22
03.01,7342,112,1020,1033,1.53,13.89
03.02,9628,152,558,2285,1.58,5.80
03.03,12047,184,895,2461,1.53,7.43
03.04,13897,236,909,2226,1.70,6.54
03.05,16118,294,1087,2534,1.82,6.74
03.06,19378,365,1556,3691,1.88,8.03
03.07,22903,451,1720,3443,1.97,7.51
03.08,26959,561,3208,3403,2.08,11.90
03.09,30814,766,3614,4913,2.49,11.73
03.10,35796,977,4212,5018,2.73,11.77
03.11,41212,1232,5274,5598,2.99,12.80
03.12,48743,1577,5779,7810,3.24,11.86
03.13,58493,1944,6544,9780,3.32,11.19
03.14,67414,2354,7947,9359,3.49,11.79
03.15,79559,2765,9304,13683,3.48,11.69
03.16,92093,3452,10413,16374,3.75,11.31
03.17,106167,4276,11680,14567,4.03,11.00
03.18,122946,4988,13496,17844,4.06,10.98
03.19,147281,6078,15402,24409,4.13,10.46
03.20,169551,6952,17687,23342,4.10,10.43
03.21,204426,8697,21255,35240,4.25,10.40
03.22,235356,10399,23726,34269,4.42,10.08
03.23,270475,12134,26726,35265,4.49,9.88
03.24,313748,14007,29315,45222,4.46,9.34
03.25,356275,16408,35350,44440,4.61,9.92
03.26,407822,18883,41244,51921,4.63,10.11
03.27,466847,21854,50313,58846,4.68,10.78
03.28,537400,25313,59270,70494,4.71,11.03
03.29,600269,28748,67976,63740,4.79,11.32
03.30,659449,31891,78354,60337,4.84,11.88
03.31,723899,36231,96623,64446,5.00,13.35
04.01,802883,40894,109027,78982,5.09,13.58
04.02,882341,45906,126381,79458,5.20,14.32
04.03,958134,51798,144442,75792,5.41,15.08
04.04,1057294,57549,156928,99160,5.44,14.84
04.05,1143525,63219,175378,86231,5.53,15.34
04.06,1206183,67247,192982,62658,5.58,16.00
04.07,1281747,73164,214977,75564,5.71,16.77
04.08,1366952,80219,230959,85205,5.87,16.90
04.09,1450303,86562,262129,83351,5.97,18.07
04.10,1538640,93911,287342,88336,6.10,18.68
04.11,1637683,101442,311623,99043,6.19,19.03
04.12,1716963,107534,334654,79280,6.26,19.49
04.13,1788161,112738,363735,71198,6.30,20.34
04.14,1858355,118361,386814,70194,6.37,20.81
04.15,1934291,125503,423376,75936,6.49,21.89
04.16,2017483,136057,449794,82740,6.74,22.29
04.17,2098707,142129,478319,85816,6.77,22.79
04.18,2190113,151484,501814,85709,6.92,22.91
04.19,2271717,157414,527171,79164,6.93,23.21
04.20,2339647,161600,558142,70814,6.91,23.86
04.21,2416345,167154,581623,74333,6.92,24.07
04.22,2509897,175122,619876,86197,6.98,24.70
04.23,2574719,180838,645090,78989,7.02,25.05
04.24,2659664,188326,674433,96599,7.08,25.36
04.25,2756365,194610,724555,96968,7.06,26.29
04.26,2835787,199014,750508,71399,7.02,26.47
04.27,2908094,202861,797349,69546,6.98,27.42
04.28,2980553,207725,828425,73895,6.97,27.79
04.29,3059873,214035,870215,82600,6.99,28.44
04.30,3141226,224299,914534,83860,7.14,29.11
05.01,3240690,229405,970742,86783,7.08,29.95
05.02,3339282,235846,1013416,90049,7.06,30.35
05.03,3395941,240056,1040310,57911,7.07,30.63
05.04,3506189,244463,1086279,106412,6.97,30.98
05.05,3588157,248699,1130967,80972,6.93,31.52
05.06,3668152,254633,1172769,82916,6.94,31.97
05.07,3763009,261231,1232323,98929,6.94,32.75
05.08,3860594,266936,1274306,97216,6.91,33.01
05.09,3958892,272601,1319939,94660,6.89,33.34
05.10,4044639,276389,1385267,80552,6.83,34.25
05.11,4127234,280027,1424467,80462,6.78,34.51
05.12,4205093,284025,1461448,81225,6.75,34.75
05.13,4289731,289710,1538463,83547,6.75,35.86
05.14,4379103,294595,1594521,94906,6.73,36.41
05.15,4477725,299924,1642422,98069,6.70,36.68
05.16,4573159,304919,1692348,92230,6.67,37.01
05.17,4663087,308971,1746400,86331,6.63,37.45
05.18,4746857,312564,1790852,86509,6.58,37.73
05.19,4836178,316075,1844422,86980,6.54,38.14
05.20,4929628,320847,1898592,94569,6.51,38.51
05.21,5032360,325876,1959880,108771,6.48,38.95
05.22,5132438,330426,2015946,96101,6.44,39.28
05.23,5253256,335858,2130809,118665,6.39,40.56
05.24,5345699,339536,2190948,90202,6.35,40.99
05.25,5448370,342515,2239185,102853,6.29,41.10
05.26,5531463,345818,2309677,82834,6.25,41.76
05.27,5627372,348566,2375228,97778,6.19,42.21
05.28,5733681,353362,2441074,108439,6.16,42.57
05.29,5854300,358194,2521804,123030,6.12,43.08
05.30,5972350,362738,2599578,116271,6.07,43.53
05.31,6108396,367080,2677877,133106,6.01,43.84
06.01,6210041,369797,2782602,103448,5.95,44.81
06.02,6315311,373408,2844119,104999,5.91,45.04
06.03,6386214,377359,2876315,69599,5.91,45.04
06.04,6556454,383951,3007773,171930,5.86,45.87
06.05,6689166,389459,3090922,135837,5.82,46.21
06.06,6833081,393287,3240721,125094,5.76,47.43
06.07,6966334,398169,3326420,129322,5.72,47.75
06.08,7072988,400713,3382493,106793,5.67,47.82
06.09,7178904,404574,3543084,105928,5.64,49.35
06.10,7280933,409109,3616909,103825,5.62,49.68
06.11,7436665,414928,3729975,155732,5.58,50.16
06.12,7577330,419872,3808203,144586,5.54,50.26
06.13,7715414,424022,3910560,138084,5.50,50.69
06.14,7847532,428110,3998708,126736,5.46,50.95
06.15,7973787,431565,4072881,126973,5.41,51.08
06.16,8098293,435252,4186405,128161,5.37,51.69
06.17,8236018,441942,4267863,138346,5.37,51.82
06.18,8416451,447283,4395687,181030,5.31,52.23
06.19,8552443,452333,4484462,141607,5.29,52.43
06.20,8729804,458305,4592199,177210,5.25,52.60
06.21,8855537,462541,4707010,118424,5.22,53.15
06.22,9018053,466425,4779085,167933,5.17,52.99
06.23,9163341,470281,4884904,149807,5.13,53.31
06.24,9327731,475748,4999059,167478,5.10,53.59
06.25,9509393,481084,5126992,182743,5.06,53.92
06.26,9689712,488158,5226191,186343,5.04,53.94
06.27,9878786,492901,5336305,184287,4.99,54.02
06.28,10060911,497424,5447401,179084,4.94,54.14
06.29,10224925,500543,5538848,168208,4.90,54.17
06.30,10380136,504770,5639211,156519,4.86,54.33
07.01,10558100,510215,5774353,178406,4.83,54.69
07.02,10777104,514990,5917947,224140,4.78,54.91
07.03,10956618,520057,6162217,178687,4.75,56.24
07.04,11167650,524022,6323547,201310,4.69,56.62
07.05,11356550,529572,6447084,185052,4.66,56.77
07.06,11536202,532970,6569443,183522,4.62,56.95
07.07,11710288,536826,6706365,164155,4.58,57.27
07.08,11926929,542988,6874838,222238,4.55,57.64
07.09,12137764,548158,7047448,210054,4.52,58.06
07.10,12365469,553588,7199235,232145,4.48,58.22
07.11,12590886,558782,7355049,215349,4.44,58.42
07.12,12811740,563685,7490846,216195,4.40,58.47
07.13,13005323,567636,7626890,198477,4.36,58.64
07.14,13202960,571700,7781916,196379,4.33,58.94
07.15,13431839,577667,7964545,234955,4.30,59.30
07.16,13659498,582893,8144254,229297,4.27,59.62
07.17,13915343,588911,8305358,252634,4.23,59.68
07.18,14162835,595344,8526425,233376,4.20,60.20
07.19,14392098,600786,8671480,232683,4.17,60.25
07.20,14614511,604802,8826002,221413,4.14,60.39
07.21,14822081,608952,8989596,208777,4.11,60.65
