date,confirm_add,confirm,heal,dead
03.23,1,1,0,0
03.24,0,1,0,0
03.25,3,4,0,0
03.26,1,5,0,0
03.27,0,5,0,0
03.28,0,5,0,0
03.29,1,6,0,0
03.30,5,10,0,1
03.31,0,10,0,2
04.01,0,10,0,2
04.02,6,16,0,2
04.03,0,16,0,2
04.04,0,16,2,2
04.05,3,19,2,2
04.06,0,19,2,2
04.07,0,19,2,2
04.08,0,19,3,2
04.09,0,19,4,2
04.10,0,19,4,2
04.11,0,19,4,2
04.12,6,25,5,2
04.13,0,25,5,2
04.14,0,25,5,2
04.15,4,29,5,2
04.16,4,33,5,2
04.17,0,33,5,2
04.18,5,38,5,2
04.19,0,38,5,2
04.20,1,39,5,3
04.21,0,39,6,3
04.22,3,42,6,3
04.23,0,42,6,3
04.24,0,42,6,3
04.25,0,42,6,3
04.26,0,42,11,3
04.27,1,43,14,3
04.28,0,43,19,3
04.29,0,43,21,3
04.30,0,43,21,3
05.01,0,43,21,3
05.02,1,44,27,3
05.03,0,44,27,3
05.04,0,44,27,3
05.05,0,44,27,3
05.06,1,45,27,3
05.07,0,45,27,3
05.08,2,47,27,3
05.09,0,47,29,3
05.10,0,47,29,3
05.11,0,47,29,3
05.12,0,47,29,3
05.13,1,48,29,3
05.14,0,48,29,3
05.15,0,48,29,3
05.16,2,50,36,3
05.17,1,51,36,3
05.18,7,58,36,3
05.19,0,58,36,3
05.20,0,58,36,3
05.21,0,58,36,3
05.22,0,58,36,3
05.23,12,70,37,4
05.24,16,86,41,4
05.25,20,106,41,4
05.26,15,121,41,4
05.27,0,121,41,4
05.28,0,121,43,4
05.29,1,122,43,4
05.30,0,122,43,4
05.31,0,122,43,4
06.01,1,123,46,5
06.02,0,123,50,6
06.03,0,123,50,6
06.04,0,123,53,6
06.05,1,124,53,6
06.06,0,124,53,6
06.07,1,125,58,6
06.08,16,141,58,6
06.09,3,144,62,6
06.10,2,146,62,6
06.11,6,152,68,6
06.12,12,164,68,6
06.13,6,170,71,6
06.14,7,177,74,6
06.15,0,177,74,6
06.16,0,177,78,6
06.17,0,177,78,6
06.18,10,187,78,7
06.19,0,187,78,7
06.20,11,198,83,7
06.21,6,204,83,7
06.22,15,219,83,7
06.23,0,219,86,7
06.24,12,231,94,7
06.25,11,242,96,7
06.26,0,242,96,7
06.27,14,256,102,9
06.28,0,256,102,9
06.29,13,269,102,9
06.30,10,279,105,9
07.01,14,293,110,9
07.02,19,312,113,9
07.03,16,328,123,10
07.04,10,338,123,10
07.05,20,358,126,13
07.06,14,372,126,14
07.07,0,372,126,14
07.08,0,372,126,14
07.09,0,372,126,14
07.10,22,394,126,16
07.11,0,394,126,16
07.12,0,394,126,16
07.13,23,417,136,19
07.14,22,439,138,21
07.15,0,439,138,21
07.16,19,458,140,22
07.17,19,477,140,22
07.18,19,496,144,25
07.19,0,496,144,25
07.20,26,522,154,29
07.21,0,522,154,29
07.22,18,540,160,31
